id	name	Anthozoa	Cnidaria_other	Polychaeta	Clitellata	Annelida_other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Mollusca_other	Brachiopoda	Ostracoda	Maxillopoda	Malacostraca	Insecta	Arthropoda_other	Ophiuroidea	Echinoidea	Holothuroidea	Echinodermata_other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Chordata_other	Animalia_other	Plantae	Categories_total	Categories_matched
2	Oreochromis niloticus	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	29	11
3	Oreochromis mossambicus	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	29	14
4	Engraulis ringens	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	29	4
5	Orthopristis chrysoptera	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	29	17
6	Coryphaena hippurus	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	29	16
7	Coryphaena equiselis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	29	4
10	Alectis indica	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	6
12	Cephalopholis cruentata	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	7
14	Epinephelus adscensionis	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	29	11
15	Epinephelus guttatus	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	29	11
16	Epinephelus itajara	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	29	12
17	Epinephelus morio	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	29	13
18	Epinephelus striatus	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	29	17
20	Argentina sphyraena	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	29	16
21	Benthosema glaciale	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	5
22	Callionymus reticulatus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	3
23	Callionymus lyra	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	3
24	Clupea harengus	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	29	19
26	Glyptocephalus cynoglossus	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	29	20
27	Lepidorhombus boscii	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	11
28	Lepidorhombus whiffiagonis	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	29	18
29	Merlangius merlangus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	29	27
30	Merluccius merluccius	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	29	15
31	Micromesistius poutassou	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	14
