     35 Acanthurus chirurgus	Actinopterygii
     23 Phoca vitulina	Mammalia
     19 Hiatella arctica	Bivalvia
     18 Pugettia gracilis	Malacostraca
     18 Pandalus borealis	Malacostraca
     18 Cirolana harfordi	Malacostraca
     18 Acanthurus chirurgus	Actinopteri
     17 Ulva	Ulvophyceae
     17 Thysanoessa inermis	Malacostraca
     17 Strongylocentrotus droebachiensis	Echinoidea
     17 Limacina helicina	Gastropoda
     17 Insecta	Insecta
     17 Hemigrapsus oregonensis	Malacostraca
     16 Zalophus californianus	Mammalia
     16 Unidentified hydroid spp.	Hydrozoa
     16 unidentified	Actinopterygii
     16 Thysanoessa spinifera	Malacostraca
     16 Thysanoessa raschii	Malacostraca
     16 Thysanoessa longipes	Malacostraca
     16 Telmessus cheiragonus	Malacostraca
     16 Spionidae	Polychaeta
     16 Scaphopods	Scaphopoda
     16 ostracods	Ostracoda
     16 Ostracoda	Ostracoda
     16 Ophiuroids	Ophiuroidea
     16 Holothuroidea	Holothuroidea
     16 Holothurians	Holothuroidea
     16 Gastropods	Gastropoda
     16 Erimacrus isenbeckii	Malacostraca
     16 Ctenodiscus crispatus	Asteroidea
     16 Chionoecetes opilio	Malacostraca
     16 Chionoecetes bairdi	Malacostraca
     16 Bivalves	Bivalvia
     16 Berryteuthis magister	Cephalopoda
     16 Asteroids	Asteroidea
     15 Trichotropis cancellata	Gastropoda
     15 Thaliacea	Thaliacea
     15 Sea birds	Aves
     15 Scaphopoda	Scaphopoda
     15 Pycnogonida	Pycnogonida
     15 Phragmatopoma californica	Polychaeta
     15 Ophiuroidea	Ophiuroidea
     15 Lebbeus polaris	Malacostraca
     15 Hydrozoa	Hydrozoa
     15 Ephemeroptera	Insecta
     15 Culicidae	Insecta
     15 Cucumaria salma	Holothuroidea
     15 Cancer	Malacostraca
     15 Bugula neritina	Gymnolaemata
     14 Tanaids	Malacostraca
     14 Stomatopods	Malacostraca
     14 Stomatopoda	Malacostraca
     14 Sea anemones	Anthozoa
     14 Renicola cerithidicola	Trematoda
     14 Renicola buchanani	Trematoda
     14 Polychaetes	Polychaeta
     14 Isopods	Malacostraca
     14 Himasthla rhigedana	Trematoda
     14 Euphausiacea	Malacostraca
     14 Capitella capitata	Polychaeta
     14 Amphipod tube mat	Malacostraca
     14 Amphipods	Malacostraca
     13 Velutina velutina	Gastropoda
     13 Turritella communis	Gastropoda
     13 Spirontocaris	Malacostraca
     13 Spatangus purpureus	Echinoidea
     13 Portunidae	Malacostraca
     13 Polychaeta	Polychaeta
     13 Pagurus pubescens	Malacostraca
     13 Pagurus bernhardus	Malacostraca
     13 Pacifastacus leniusculus	Malacostraca
     13 Nephrops norvegicus	Malacostraca
     13 Mytilus edulis	Bivalvia
     13 Mysida	Malacostraca
     13 Mya truncata	Bivalvia
     13 Malacobdella grossa	Enopla
     13 Littorina littorea	Gastropoda
     13 Laridae	Aves
     13 Hippolyte varians	Malacostraca
     13 Gastrosaccus spinifer	Malacostraca
     13 Galathea strigosa	Malacostraca
     13 Galathea squamifera	Malacostraca
     13 Galathea intermedia	Malacostraca
     13 Erignathus barbatus	Mammalia
     13 Cumacea	Malacostraca
     13 Crinoidea	Crinoidea
     13 Cerastoderma edule	Bivalvia
     13 Cephalaspidea	Gastropoda
     13 Carcinus maenas	Malacostraca
     13 Arctica islandica	Bivalvia
     13 Acanthurus chirurgus	""
     12 Watasenia scintillans	Cephalopoda
     12 Virgularia mirabilis	Anthozoa
     12 Vibilia armata	Malacostraca
     12 Venus fasciata	Bivalvia
     12 Vampyroteuthis infernalis	Cephalopoda
     12 Urothoe pulchella	Malacostraca
     12 Urothoe elegans	Malacostraca
     12 Uroteuthis chinensis	Cephalopoda
     12 Upogebia	Malacostraca
     12 Upogebia affinis	Malacostraca
     12 Turritella exoleta	Gastropoda
     12 Travisia forbesii	Polychaeta
     12 Tozeuma carolinense	Malacostraca
     12 Tomopteris helgolandica	Polychaeta
     12 Todaropsis eblanae	Cephalopoda
     12 Todarodes sagittatus	Cephalopoda
     12 Todarodes pacificus	Cephalopoda
     12 Todarodes filippovae	Cephalopoda
     12 Todarodes angolensis	Cephalopoda
     12 Thysanoteuthis rhombus	Cephalopoda
     12 Thysanoessa macrura	Malacostraca
     12 Thysanoessa longicaudata	Malacostraca
     12 Thysanoessa gregaria	Malacostraca
     12 Thelepus cincinnatus	Polychaeta
     12 Teuthowenia megalops	Cephalopoda
     12 Tetraxanthus rathbunae	Malacostraca
     12 Taningia danae	Cephalopoda
     12 Tagelus plebeius	Bivalvia
     12 Stylocheiron maximum	Malacostraca
     12 Stylocheiron longicorne	Malacostraca
     12 Stylela montereyensis	Ascidiacea
     12 Stylarioides plumosa	Polychaeta
     12 Strongylocentrotus purpuratus	Echinoidea
     12 Strongylocentrotus pallidus	Echinoidea
     12 Strongylocentrotus lividus	Echinoidea
     12 Stonycorals	Anthozoa
     12 Stomolophus meleagris	Scyphozoa
     12 Sthenoteuthis oualaniensis	Cephalopoda
     12 Sthenelais limicola	Polychaeta
     12 Sternaspis scutata	Polychaeta
     12 Stenorhynchus seticornis	Malacostraca
     12 Stenopus hispidus	Malacostraca
     12 Stenella coeruleoalba	Mammalia
     12 Spisula subtruncata	Bivalvia
     12 Spisula solida	Bivalvia
     12 Spisula elliptica	Bivalvia
     12 Spirula spirula	Cephalopoda
     12 Spirontocaris spinus	Malacostraca
     12 Spirontocaris securifrons	Malacostraca
     12 Spirontocaris affinis	Malacostraca
     12 Spiophanes bombyx	Polychaeta
     12 Spiochaetopterus typicus	Polychaeta
     12 Spiny lobsters	Malacostraca
     12 Sphaerechinus granularis	Echinoidea
     12 Siriella armata	Malacostraca
     12 Serripes groenlandicus	Bivalvia
     12 Serpula vermicularis	Polychaeta
     12 Sergestes arcticus	Malacostraca
     12 Sepioteuthis australis	Cephalopoda
     12 Sepiola atlantica	Cephalopoda
     12 Sepietta oweniana	Cephalopoda
     12 Sepia orbignyana	Cephalopoda
     12 Sepia officinalis	Cephalopoda
     12 Scrobicularia plana	Bivalvia
     12 Scoloplos armiger	Polychaeta
     12 Scleroplax granulata	Malacostraca
     12 Sclerocrangon boreas	Malacostraca
     12 Schistomysis ornata	Malacostraca
     12 Scaphander watsoni	Gastropoda
     12 Scallops	Bivalvia
     12 Salpa thompsoni	Thaliacea
     12 Sabinea septemcarinata	Malacostraca
     12 Sabellid Worm	Polychaeta
     12 Sabellaria spinulosa	Polychaeta
     12 Rossia	Cephalopoda
     12 Rissoa parva	Gastropoda
     12 Rimapenaeus similis	Malacostraca
     12 Rimapenaeus constrictus	Malacostraca
     12 Rhachotropis aculeata	Malacostraca
     12 Retusa pertenius	Gastropoda
     12 Pygidiopsoides spindalis	Trematoda
     12 Pterosiphonia dendroidea	Florideophyceae
     12 Psychroteuthis glacialis	Cephalopoda
     12 Pseudosquilla ciliata	Malacostraca
     12 Processa bermudensis	Malacostraca
     12 Praunus inermis	Malacostraca
     12 Potamopyrgus antipodarum	Gastropoda
     12 Porcellana sayana	Malacostraca
     12 Pontophilus spinosus	Malacostraca
     12 Pontophilus norvegicus	Malacostraca
     12 Polymnia nebulosa	Polychaeta
     12 Pocillopora meandrina	Anthozoa
     12 Pleurobrachia pileus	Tentaculata
     12 Platynereis dumerilii	Polychaeta
     12 Pilumnus sayi	Malacostraca
     12 Phycodrys setchellii	Florideophyceae
     12 Phtisica marina	Malacostraca
     12 Phronima sedentaria	Malacostraca
     12 Photis longicaudata	Malacostraca
     12 Pholoe synophthalmica	Polychaeta
     12 Philine aperta	Gastropoda
     12 Pherusa plumosa	Polychaeta
     12 Petrochirus diogenes	Malacostraca
     12 Perinereis cultrifera	Polychaeta
     12 Pentidotea	Malacostraca
     12 Penilia avirostris	Branchiopoda
     12 Penaeus semisulcatus	Malacostraca
     12 Penaeus monodon	Malacostraca
     12 Pecten raveneli	Bivalvia
     12 Patella vulgata	Gastropoda
     12 Pasiphaea tarda	Malacostraca
     12 Pasiphaea pacifica	Malacostraca
     12 Pareledone turqueti	Cephalopoda
     12 Parathemisto compressa	Malacostraca
     12 Parapenaeus longirostris	Malacostraca
     12 Papyridea semisulcata	Bivalvia
     12 Panulirus interruptus	Malacostraca
     12 Panulirus homarus	Malacostraca
     12 Panulirus argus	Malacostraca
     12 Pandalus platyceros	Malacostraca
     12 Pandalus brevirostris	Malacostraca
     12 Pandalina brevirostris	Malacostraca
     12 Pagurus bullisi	Malacostraca
     12 Pagurus brevidactylus	Malacostraca
     12 Paguridae	Malacostraca
     12 Pachygrapsus crassipes	Malacostraca
     12 Pachycerianthus fimbratus	Anthozoa
     12 Oxyurostylis smithi	Malacostraca
     12 Owenia fusiformis	Polychaeta
     12 Ovalipes ocellatus	Malacostraca
     12 Ophiura texturata	Ophiuroidea
     12 Ophiura robusta	Ophiuroidea
     12 Ophiura albida	Ophiuroidea
     12 Ophiothrix fragilis	Ophiuroidea
     12 Ophioscolex glacialis	Ophiuroidea
     12 Ophiopholis aculeata	Ophiuroidea
     12 Ophelia bicornis	Polychaeta
     12 Ommastrephes bartramii	Cephalopoda
     12 Odonata	Insecta
     12 Ocythoe tuberculata	Cephalopoda
     12 Octopus vulgaris	Cephalopoda
     12 Octopus briareus	Cephalopoda
     12 Obelia	Hydrozoa
     12 Obelia geniculata	Hydrozoa
     12 Nyctiphanes capensis	Malacostraca
     12 Nyctiphanes australis	Malacostraca
     12 Nucula proxima	Bivalvia
     12 Nucula nucleus	Bivalvia
     12 Notomastus latericius	Polychaeta
     12 Neptunea antiqua	Gastropoda
     12 Nephtys incisa	Polychaeta
     12 Nephtys ciliata	Polychaeta
     12 Neomysis integer	Malacostraca
     12 Nematoscelis megalops	Malacostraca
     12 Nebalia bipes	Malacostraca
     12 Natica catena	Gastropoda
     12 Mytilus galloprovincialis	Bivalvia
     12 Mya arenaria	Bivalvia
     12 Musculus niger	Bivalvia
     12 Musculus discors	Bivalvia
     12 Munida rugosa	Malacostraca
     12 Monoculodes carinatus	Malacostraca
     12 Modiolus modiolus	Bivalvia
     12 Modiolus americanus	Bivalvia
     12 Mnemiopsis leidyi	Tentaculata
     12 Micronephthys minuta	Polychaeta
     12 Metoporhaphis calcarata	Malacostraca
     12 Metapenaeopsis dalei	Malacostraca
     12 Mesopodopsis slabberi	Malacostraca
     12 Mesonychoteuthis hamiltoni	Cephalopoda
     12 Mercenaria mercenaria	Bivalvia
     12 Menippe mercenaria	Malacostraca
     12 Menippe adina	Malacostraca
     12 Meganyctiphanes norvegica	Malacostraca
     12 Mastigoteuthis psychrophila	Cephalopoda
     12 Marphysa sanguinea	Polychaeta
     12 Maera loveni	Malacostraca
     12 Macropodia tenuirostris	Malacostraca
     12 Macropipus tuberculatus	Malacostraca
     12 Macrocoeloma trispinosum	Malacostraca
     12 Macoma nasuta	Bivalvia
     12 Macoma calcarea	Bivalvia
     12 Lycoteuthis lorigera	Cephalopoda
     12 Lutra lutra	Mammalia
     12 Lophogaster typicus	Malacostraca
     12 Loligo vulgaris	Cephalopoda
     12 Loligo illecebrosus	Cephalopoda
     12 Loligo forbesii	Cephalopoda
     12 Loimia medusa	Polychaeta
     12 Lithodes maja	Malacostraca
     12 Liocarcinus corrugatus	Malacostraca
     12 Leucothoe spinicarpa	Malacostraca
     12 Leptomysis gracilis	Malacostraca
     12 Lepidopleurus asellus	Polyplacophora
     12 Laurencia	Florideophyceae
     12 Latreutes parvulus	Malacostraca
     12 Lanice conchilega	Polychaeta
     12 Laevicardium mortoni	Bivalvia
     12 Kelletia kelletii	Gastropoda
     12 Jassa falcata	Malacostraca
     12 Illex argentinus	Cephalopoda
     12 Iliacantha subglobosa	Malacostraca
     12 Hyperia galba	Malacostraca
     12 Hymenodora glacialis	Malacostraca
