FBC:FB:SpecCode:10004	Taenioides gracilis	Echinoidea
FBC:FB:SpecCode:10008	Dormitator lebretonis	""
FBC:FB:SpecCode:10008	Dormitator lebretonis	Bacillariophyceae
FBC:FB:SpecCode:10008	Dormitator lebretonis	Cyanophyceae
FBC:FB:SpecCode:10008	Dormitator lebretonis	Insecta
FBC:FB:SpecCode:1001	Oligoplites saurus	Actinopteri
FBC:FB:SpecCode:1001	Oligoplites saurus	Actinopterygii
FBC:FB:SpecCode:1001	Oligoplites saurus	Hexanauplia
FBC:FB:SpecCode:1001	Oligoplites saurus	Insecta
FBC:FB:SpecCode:1001	Oligoplites saurus	Malacostraca
FBC:FB:SpecCode:1001	Oligoplites saurus	Maxillopoda
FBC:FB:SpecCode:1001	Oligoplites saurus	Teleostei
FBC:FB:SpecCode:10023	Ophiocara porocephala	Actinopterygii
FBC:FB:SpecCode:10028	Ctenopoma multispine	Actinopterygii
FBC:FB:SpecCode:10028	Ctenopoma multispine	Insecta
FBC:FB:SpecCode:10028	Ctenopoma multispine	Malacostraca
FBC:FB:SpecCode:1002	Pseudocaranx dentex	Cephalopoda
FBC:FB:SpecCode:1002	Pseudocaranx dentex	Echinoidea
FBC:FB:SpecCode:1002	Pseudocaranx dentex	Malacostraca
FBC:FB:SpecCode:1002	Pseudocaranx dentex	Maxillopoda
FBC:FB:SpecCode:1002	Pseudocaranx dentex	Ophiuroidea
FBC:FB:SpecCode:1004	Selene vomer	Actinopteri
FBC:FB:SpecCode:1004	Selene vomer	Actinopterygii
FBC:FB:SpecCode:1004	Selene vomer	Cephalopoda
FBC:FB:SpecCode:1004	Selene vomer	Teleostei
FBC:FB:SpecCode:10050	Ctenopoma petherici	Malacostraca
FBC:FB:SpecCode:10053	Sandelia bainsii	Actinopterygii
FBC:FB:SpecCode:10053	Sandelia bainsii	Insecta
FBC:FB:SpecCode:10053	Sandelia bainsii	Malacostraca
FBC:FB:SpecCode:1005	Seriola dumerili	Actinopteri
FBC:FB:SpecCode:1005	Seriola dumerili	Actinopterygii
FBC:FB:SpecCode:1005	Seriola dumerili	Cephalopoda
FBC:FB:SpecCode:1005	Seriola dumerili	Polychaeta
FBC:FB:SpecCode:1005	Seriola dumerili	Teleostei
FBC:FB:SpecCode:10063	Mastacembelus moorii	Actinopterygii
FBC:FB:SpecCode:1007	Seriola rivoliana	Actinopteri
FBC:FB:SpecCode:1007	Seriola rivoliana	Actinopterygii
FBC:FB:SpecCode:1007	Seriola rivoliana	Teleostei
FBC:FB:SpecCode:100	Gasterochisma melampus	Actinopteri
FBC:FB:SpecCode:100	Gasterochisma melampus	Actinopterygii
FBC:FB:SpecCode:100	Gasterochisma melampus	Aves
FBC:FB:SpecCode:100	Gasterochisma melampus	Cephalopoda
FBC:FB:SpecCode:100	Gasterochisma melampus	Insecta
FBC:FB:SpecCode:100	Gasterochisma melampus	Teleostei
FBC:FB:SpecCode:10105	Tetraodon schoutedeni	Gastropoda
FBC:FB:SpecCode:1010	Trachinotus falcatus	Cephalaspidomorphi
FBC:FB:SpecCode:1010	Trachinotus falcatus	Echinoidea
FBC:FB:SpecCode:1010	Trachinotus falcatus	Gastropoda
FBC:FB:SpecCode:1010	Trachinotus falcatus	Malacostraca
FBC:FB:SpecCode:10111	Sperata seenghala	Actinopteri
FBC:FB:SpecCode:10111	Sperata seenghala	Actinopterygii
FBC:FB:SpecCode:10111	Sperata seenghala	Teleostei
FBC:FB:SpecCode:10113	Coregonus nelsonii	Actinopteri
FBC:FB:SpecCode:10113	Coregonus nelsonii	Actinopterygii
FBC:FB:SpecCode:10113	Coregonus nelsonii	Insecta
FBC:FB:SpecCode:10113	Coregonus nelsonii	Teleostei
FBC:FB:SpecCode:10116	Myxine capensis	Actinopterygii
FBC:FB:SpecCode:1011	Trachinotus goodei	Actinopteri
FBC:FB:SpecCode:1011	Trachinotus goodei	Actinopterygii
FBC:FB:SpecCode:1011	Trachinotus goodei	Gastropoda
FBC:FB:SpecCode:1011	Trachinotus goodei	Malacostraca
FBC:FB:SpecCode:1011	Trachinotus goodei	Teleostei
FBC:FB:SpecCode:10120	Aetomylaeus nichofii	Actinopterygii
FBC:FB:SpecCode:10121	Bathyraja smithii	Actinopteri
FBC:FB:SpecCode:10121	Bathyraja smithii	Actinopterygii
FBC:FB:SpecCode:10121	Bathyraja smithii	Cephalopoda
FBC:FB:SpecCode:10121	Bathyraja smithii	Malacostraca
FBC:FB:SpecCode:10121	Bathyraja smithii	Teleostei
FBC:FB:SpecCode:10132	Chanda nama	Dothideomycetes
FBC:FB:SpecCode:10132	Chanda nama	Insecta
FBC:FB:SpecCode:10136	Enchelycore lichenosa	Actinopterygii
FBC:FB:SpecCode:1013	Centropomus ensiferus	Malacostraca
FBC:FB:SpecCode:10140	Mastacembelus armatus	Actinopteri
FBC:FB:SpecCode:10140	Mastacembelus armatus	Actinopterygii
FBC:FB:SpecCode:10140	Mastacembelus armatus	Branchiopoda
FBC:FB:SpecCode:10140	Mastacembelus armatus	Malacostraca
FBC:FB:SpecCode:10140	Mastacembelus armatus	Teleostei
FBC:FB:SpecCode:10146	Gymnothorax prasinus	Actinopteri
FBC:FB:SpecCode:10146	Gymnothorax prasinus	Actinopterygii
FBC:FB:SpecCode:10146	Gymnothorax prasinus	Malacostraca
FBC:FB:SpecCode:10146	Gymnothorax prasinus	Teleostei
FBC:FB:SpecCode:10147	Macrognathus pancalus	Branchiopoda
