   4160 amphipods	Amphipoda
   2781 Decapoda	Decapoda
   2600 isopods	Isopoda
   2500 crabs	Decapoda
   2448 mysids	Mysida
   2320 Chironomidae	Diptera
   2268 shrimps	Decapoda
   2170 Amphipoda	Amphipoda
   1848 euphausiids	Euphausiacea
   1798 Gammaridea	Amphipoda
   1737 Isopoda	Isopoda
   1631 Cumacea	Cumacea
   1592 Calanoida	Calanoida
   1540 shrimps/prawns	Decapoda
   1304 Harpacticoida	Harpacticoida
   1244 Mysida	Mysida
   1144 Euphausiacea	Euphausiacea
   1038 Gammaridae	Amphipoda
    925 Brachyura	Decapoda
    881 Ephemeroptera	Ephemeroptera
    824 Cyclopoida	Cyclopoida
    822 Diptera	Diptera
    810 Penaeidae	Decapoda
    776 Polychaeta	Diptera
    756 stomatopods	Stomatopoda
    738 Clupea harengus	Clupeiformes
    735 cladocerans	Diplostraca
    714 Pandalidae	Decapoda
    714 debris	Squamata
    710 Caridea	Decapoda
    708 Hyperiidea	Amphipoda
    684 Trichoptera	Trichoptera
    627 Cancer	Decapoda
    624 Euphausia superba	Euphausiacea
    618 Odonata	Odonata
    618 Meganyctiphanes norvegica	Euphausiacea
    595 Stomatopoda	Stomatopoda
    588 squids	Aulopiformes
    567 Alpheus normanni	Decapoda
    564 Pleocyemata	Decapoda
    564 Myctophidae	Myctophiformes
    546 Paracalanus parvus	Calanoida
    546 Clupeidae	Clupeiformes
    544 Coleoptera	Coleoptera
    542 Caprellidae	Amphipoda
    540 Ulva	Ulvales
    540 Shrimps	Decapoda
    540 Crabs	Decapoda
    536 tanaids	Tanaidacea
    536 AMPHIPODA	Amphipoda
    532 Synalpheus brevicarpus	Decapoda
    528 Mysidae	Mysida
    528 Acartia tonsa	Calanoida
    514 Paguridae	Decapoda
    510 Euphausia pacifica	Euphausiacea
    504 Xanthidae	Decapoda
    504 Petrolishtes galathinus	Decapoda
    497 Pachygrapsus transversus	Decapoda
    496 Amphipods	Amphipoda
    495 Thysanoessa inermis	Euphausiacea
    490 squids	Teuthida
    486 Undinula vulgaris	Calanoida
    480 Tanaidacea	Tanaidacea
    468 Alpheus armillatus	Decapoda
    462 Synalpheus longicarpus	Decapoda
    462 Stenorhynchus seticornis	Decapoda
    462 Pandalus borealis	Decapoda
    462 Alpheus peasei	Decapoda
    456 Euchaeta marina	Calanoida
    454 Portunidae	Decapoda
    450 Crangon crangon	Decapoda
    450 Alpheus cristulifrons	Decapoda
    448 mayflies	Ephemeroptera
    448 cumaceans	Cumacea
    444 Paguristes grayi	Decapoda
    444 Mithrax forceps	Decapoda
    444 Euterpina acutifrons	Harpacticoida
    438 Mithrax cinctimanus	Decapoda
    438 Hyperiidae	Amphipoda
    438 Euphausiidae	Euphausiacea
    432 Penilia avirostris	Diplostraca
    426 Pilumnus sayi	Decapoda
    426 Parapinnixa hendersoni	Decapoda
    426 Pachycheles riisei	Decapoda
    420 Teuthida	Teuthida
    416 Amphipod tube mat	Amphipoda
    414 Oithona nana	Cyclopoida
    403 Crangonidae	Decapoda
    396 Mithrax sculptus	Decapoda
    396 Labidocera acutifrons	Calanoida
    392 midges	Diptera
    392 harpacticoid copepods	Harpacticoida
    390 Podon	Diplostraca
    390 Paraliomera dispar	Decapoda
    390 Paguristes tortugae	Decapoda
    390 Paguristes cadenati	Decapoda
    390 Mithrax hemphilli	Decapoda
    390 Mithrax coryphe	Decapoda
    386 Melanogrammus aeglefinus	Gadiformes
    385 Alpheus immaculatus	Decapoda
    384 Petrolisthes jugosus	Decapoda
    384 Paracalanus aculeatus	Calanoida
    384 Oithona plumifera	Cyclopoida
    384 Micropanope barbadensis	Decapoda
    384 Hexapanopeus caribbaeus	Decapoda
    384 Domecia acanthophora	Decapoda
    384 Anchoa hepsetus	Clupeiformes
    378 Lestrigonus bengalensis	Amphipoda
    378 Glossocephalus milneedwardsi	Amphipoda
    378 CRANGONIDAE	Decapoda
    378 Caulerpa racemosa	Bryopsidales
    376 Isopods	Isopoda
    375 Synalpheus anasimus	Decapoda
    375 Oncaea venusta	Poecilostomatoida
