	Aulacomya ater	GBIF:5188832	Aulacomya atra
	Dipteran (not Chironomidae) larvae	NCBI:1187347	Diptera
	spione rush	OTT:912396	Spionidae
	dipteran pupa	NCBI:1187318	Diptera
	Cladophora	IRMNG:1335992	Cladophora
	Asellus (isopod) and other detritivores	ITIS:92658	Asellus
	Clarias spp.	NCBI:1417301	Clarias
	Caenis sp.	IRMNG:1264647	Caenis
	trichopterans	NCBI:1129109	Trichoptera
	Procladius spp.	NCBI:1981574	Procladius
	Anabaena spiroides	OTT:5889484	Dolichospermum spiroides
	Portunus ordwayi	WORMS:450421	Portunus
	Chlamys groenlandicus	GBIF:2116145	Perissopus
	Xenopus tadpole	OTT:967027	Xenopus mellotropicalis
	diptera	NCBI:1187314	Diptera
	Hymenoptera	OTT:4576232	Hymenoptera
	Bathyraja spinicauda	NCBI:464747	Bathyraja
	Hololepida	IRMNG:1286134	Hololepida
	Nereis diversicolor	ITIS:65920	Nereis diversicolor
	DIATOMS	WORMS:576884	Khakista
EOL:61160	Gossypium	OTT:800239	Gossypium
	Blow fly larvae	OTT:790446	Lucilia
	Alpheus floridanus	NCBI:87360	Alpheus floridanus
EOL:4967692	Geonemertes	GBIF:9225914	Geonemertes
	radiolarians	ITIS:152879	Dacnusa
	OXYETHIRA SPP	ITIS:598817	Oxyethira
	Phylloicus	OTT:5934484	Phylloicus
FBC:FB:SPECCODE:8473	Coryphaenoides cinereus	WORMS:125748	Coryphaenoides
	Lepidonotus squamatus	NCBI:880405	Lepidonotus squamatus
	Batis maritima	NCBI:4435	Batis
	Keratella cochlearis	NCBI:1225254	Keratella cochlearis
	Rhopalodia	OTT:322246	Rhopalodia
	Scenedesmus armatus	OTT:5416668	Scenedesmus
	BRACHYCERA SPP	OTT:4513117	Diptera
	Glossosoma	ITIS:598809	Glossosoma
	Terrestrial Diptera	NCBI:1187375	Diptera
	adult Diptera	NCBI:1187363	Diptera
	Lepidoptera larvae	NCBI:1464435	Lepidoptera
	Ophiura	WORMS:123663	Ophiura
	Simulium larvae (black fly)	OTT:4459020	Simulium chomthongense
	Modiolus	GBIF:2285663	Modiolus sacculifer
	Aplysina lacunosa	OTT:485987	Aplysina lacunosa
	anisopterans	GBIF:8334716	Anisoptera
	Diptera  juveniles	NCBI:1187384	Diptera
	chlorhaemid polychaetes	IRMNG:1321	Polychaeta
	Closterium venus	GBIF:7694733	Closterium venus
	Eubosmina	ITIS:684613	Eubosmina
	Nerita melanostragus	WORMS:873787	Fluvinerita
	Oscillatoria	OTT:563260	Oscillatoria nigro-viridis
